,0,1,2,3,4,5,6,7
7270,21:00,11/2/09,Madison,OH,Triangle,30 minutes,I saw a triangle craft hovering up close,12/12/09
7271,20:45,11/2/09,Zimbabwe,,Flash,20 seconds,"UFO identified on Monday 02 November 2009 at 20:45hrs in Triangle, South eastern lowveld area in Zimbabwe",12/12/09
7272,18:00,11/2/09,Bainbridge Island,WA,Flash,1 second,"Flash of light followed by change in broadcast signals, and then unmarked black helicopter with searchlight.",12/12/09
7273,09:00,11/2/09,West Palm Beach,FL,Changing,20 minutes,Two objects over West Palm Beach Florida. One changed shape and both disappeared,12/12/09
7274,23:00,11/1/09,Paterson,NJ,Triangle,Approx 10 seconds,Triangle wing span illuminated floating in sky,12/12/09
7275,21:25,11/1/09,El Dorado Hills (suburb of Sacramento),CA,Light,30 seconds,"At 9:25pm on 11/01/2009 a bright light hovered over a mountain range due west of eldorado hills, ca and it abruptly disappeared.",12/12/09
7276,21:15,11/1/09,Tampa,FL,Triangle,5 minutes,Blue glowing object in tampa,12/12/09
7277,21:00,11/1/09,Merrillville,IN,Disk,10 minutes,Five fireball objects which were being escorted by military helicopters. The picture I took showed five disc shaped objects,12/12/09
7278,20:40,11/1/09,Post,TX,Light,3 Seconds,single green orb-like light zipped forwards and disappeared,12/12/09
7279,20:00,11/1/09,Corpus Christi,TX,Unknown,30 seconds,What looked like a star moved to the right very slowly and then got dimmer and slowy vanished.,12/12/09
7280,18:06,11/1/09,Redondo Beach,CA,Triangle,3 seconds,"Two craft spotted for three seconds, one primary (triangular) and one smaller (round)",12/12/09
7281,17:20,11/1/09,New Albany,IN,Oval,2 minutes,Large disc appearing and disappearing while hovering with no change in direction.,12/12/09
7282,17:00,11/1/09,North Charleston,SC,Rectangle,15 minutes,Mysterious black rectangular object in the North Charleston sky.,12/12/09
7283,16:15,11/1/09,Ottumwa,IA,Sphere,30 mins,round reflective object,12/12/09
7284,01:48,11/1/09,Redding,CA,Changing,30-45 minutes,Changed shapes with bright multi-colored lights all over/around it.,12/12/09
7285,23:00,10/31/09,Birmingham (UK/England),,Sphere,10 min,"Orange glowing Spheres of light approaching from south-east at about three times the speed of a normal aircraft, slowing before turning",12/12/09
7286,21:30,10/31/09,Santa Monica,CA,Triangle,5 minutes?,V shaped formation with orange lights hovers over area and then seemingly vanishes,12/12/09
7287,20:30,10/31/09,Hastings,MN,Oval,10 seconds,Small fast moving Cloud like looking UFOs > Moving in same direction at same fast speed.,12/12/09
7288,20:00,10/31/09,Omaha,NE,Sphere,3 minutes,Strange orange orb on 10/31,12/12/09
7289,20:00,10/31/09,Springville,CA,Triangle,10 min,Three bright lights over springville,12/12/09
7290,19:50,10/31/09,Derry (Northern Ireland),,Changing,1-2 minutes,"Several people witness a strange light that changed shape, direction and speed over Derry.",12/12/09
7291,19:35,10/31/09,Camas,WA,Circle,10 minutes,Bright orange circular object moving across sky,12/12/09
7292,19:20,10/31/09,Chicago,IL,Fireball,10 minutes,Bright orange colored UFO in Chicago,12/12/09
7293,19:00,10/31/09,Indianapolis,IN,Fireball,1 minute,"Orange ""flaming"" light rising, then abruptly changing directions and slowly disappearing in the horizon.",12/12/09
7294,11:15,10/31/09,Belen,NM,Formation,15 min,Observed 4 light formation blinking red/green at a frequency of 1 per second approx 20 miles ESE of belen nm altitude approx 10000 ft.,12/12/09
7295,22:30,10/30/09,Riverside,CA,Light,2-3 Minutes,Blue and Orange lights floating stationary.,12/12/09
7296,22:20,10/30/09,Anaheim,CA,Diamond,12 minutes,Large fiery orange object seemed to come apart then turned and climbed in altitude and speed.,12/12/09
7297,21:00,10/30/09,Dayton,TX,Triangle,5 minutes,Driving down Highway 146 Friday night around 9:30PM my husband and I noticed a very bright object in the sky. My husband asked if that,12/12/09
7298,20:59,10/30/09,Heswall (UK/England),,Circle,1 min,Strange single light that moved slowly but erratically,12/12/09
7299,15:00,10/30/09,New York City (Brooklyn),NY,Circle,Unknown,Corner of Bath Avenue and 18th Avenue Brooklyn NY I was just taking random photos with my cellphone and the next day I discovered this.,12/12/09
7300,21:15,10/29/09,New Vienna,OH,Cigar,30 seconds,"UFO New Vienna Ohio, 5-8 lights appear goldish one after another",12/12/09
7301,21:00,10/29/09,Hamilton,OH,Light,45 Seconds,Red-Lighted UFO,12/12/09
7302,20:45,10/29/09,New Vienna,OH,Unknown,7-10 Seconds,8 Lights Near New Vienna,12/12/09
7303,20:30,10/29/09,Batavia,OH,Formation,1 Min,Possible 7-8 flares seen in sky,12/12/09
7304,20:15,10/29/09,Centerville,OH,Rectangle,2 minutes,Very large silent craft with 4 lights moving slowly across the sky,12/12/09
7305,20:00,10/29/09,Glendale,AZ,Formation,10 mins.,"7 lights about, flashing on and off, in a straight line, horizontally, white",12/12/09
7306,17:33,10/29/09,Bellevue,TN,Other,approx 1 min,"polygo shape, no vapor, no noise, approx 300-400 mph",12/12/09
7307,04:15,10/29/09,San Francisco,CA,Light,2 seconds,San Francisco October 29th at 4:15am Bright moving white light ball moving left to right then disappeared in 2 seconds.,12/12/09
7308,23:52,10/28/09,Surf City,NC,Flash,1 hour and still stationa,Craft appeared to bounce close to ground before shooting straight up into the sky and has been stationary for an hour+.,12/12/09
7309,21:30,10/28/09,Crestline,CA,Unknown,3 hrs,unexplained lights in southern california,12/12/09
7310,21:30,10/28/09,Santa Clarita,CA,Triangle,1 min,Triangle ufo over Santa Clarita. Possible man made!,12/12/09
7311,21:05,10/28/09,Merritt Island,FL,Circle,5 minutes,On 10/28/09 a UFO hovering over state road 3 in merritt island florida emitting no sound or vibration except a bright amber fire light.,12/12/09
7312,19:45,10/28/09,Durham,NC,Light,3-4 minutes,3 bright lights over Durham,12/12/09
7313,19:30,10/28/09,Selah,WA,,2 or 3 minutes,"2 Large Orange Illuminating Round Lights moving slowly in NW sky above horizon outside of Selah,WA.",12/12/09
7314,18:58,10/28/09,Ellensberg (approx. 10-15 mi.SW of),WA,Fireball,About 6-7 minutes,2 Fireballs near Ellensberg.,12/12/09
7315,18:00,10/28/09,Monkton,MD,Other,dream,Navy-dark sky blue see through balls 10 or so inches in diameter with an orange core inside. ((NUFORC Note: Student report. PD)),12/12/09
7316,01:00,10/28/09,Oakland,CA,Circle,1 minute,"Huge bright blue circles above Oakland for a few seconds, reappeared 1 mi south 2 sec. later then vanished. Definately not a plane.",12/12/09
7317,22:45,10/27/09,Trenton,NJ,Formation,7 seconds,Made no sound and flew right above our heads in a straight line on a clear night when the only things visible were the moon and stars.,12/12/09
7318,21:16,10/27/09,Sam Miguel,CA,Fireball,5m,"fireball SSW of San Miguel, California",12/12/09
7319,20:00,10/27/09,San Pedro,CA,Sphere,all night,Hundreds of them in the night sky over one city alone.!!!,12/12/09
7320,18:30,10/27/09,McAllen,TX,Other,Four minutes,"They looked like planes without wings, emitting a high concentration of light and moving extremely slowly.",12/12/09
7321,18:20,10/27/09,Kaneohe,HI,,15 MIN,SYMBOLIC CONTRAILS OVER KANEOHE THAT LOOKED LIKE SQUARES AND ARCS,12/12/09
7322,17:30,10/27/09,Denton,TX,Unknown,20 seconds,Green light hovering of I35W denton texas hovered moved right to left very fast then went south suddenly,12/12/09
7323,06:00,10/27/09,Henderson,NV,Circle,10 minutes,flying object in the sky,12/12/09
7324,01:04,10/27/09,Colchester,VT,Circle,5 minutes,"It was about 1:04 in the morning.

I was getting home from the late shift, and near the northern sky, I thought I saw a plane with v",12/12/09
7325,21:00,10/26/09,Babylon,NY,Fireball,3 to 5 seconds,"The object that I witnessed reminded me of when I saw Halley's Comet, but at a very low point of the night sky.",12/12/09
7326,20:50,10/26/09,Collingdale,PA,Light,Seconds,Bright white fast flashing light turned to solid white light then arched off fast toward Philadelphia,12/12/09
7327,20:45,10/26/09,Chester,CA,Light,lees than 2 minutes,"Yellow orb, no noise, disappered after 2 minutes.",12/12/09
7328,20:25,10/26/09,Raleigh,NC,Light,5 minutes,"20 flickering red lights in imperfect succession, floating up and vanishing into the clouds.",12/12/09
7329,20:15,10/26/09,Manchester (UK/England),,Diamond,,Diamond shaped object seen over Miles Plattings Manchester at 20:15pm,12/12/09
7330,18:00,10/26/09,Streetsboro,OH,Triangle,1-2 minutes,"On 10/26/2009 saw flat, triangular silver colored aircraft making loud motor noise flying low over my house very near Ohio Turnpike",12/12/09
7331,17:30,10/26/09,Las Vegas,NV,Oval,12 mins.,"On October 26, 2009 I was out on my front porch area watching an inordinate number of aircraft departing McCarran International Airport",12/12/09
7332,06:05,10/26/09,Hooksett,NH,Triangle,20 minutes,Black Triangle gliding over RT 93,12/12/09
7333,03:30,10/26/09,Seattle,WA,Unknown,40 min,Two craft hovering in the sky above north seattle,12/12/09
7334,20:45,10/25/09,Lajas (Puerto Rico),,Flash,15 minutes,Sky object emitting strobes of light every 10 seconds moving slowly towards the east,12/12/09
7335,20:45,10/25/09,Hemet,CA,Triangle,1 minute,"Two triangular UFO's seen over Hemet, CA in the night sky with distortion field",12/12/09
7336,20:30,10/25/09,Hemet,CA,Rectangle,5 seconds,Rectangular craft observed in Hemet California,12/12/09
7337,20:30,10/25/09,Cambridge (Canada),ON,Flash,,On several accounts I have witnessed “stars” moving in odd patterns in the sky.,12/12/09
7338,19:55,10/25/09,The Woodlands,TX,Unknown,45 Seconds,Pulsating light emitting no sound moving slowly above my neighborhood,12/12/09
7339,18:15,10/25/09,Sturgeon Bay,WI,Oval,6 minutes +,Low Flying oval craft with flashing colored lights moving slowly across the sky.,12/12/09
7340,16:00,10/25/09,Lavalette,WV,Circle,2-3 MIN.,Satellite looking object made erratic movement in daylight in clear skys near Huntington WV.,12/12/09
7341,11:33,10/25/09,Gardnerville,NV,Circle,1 min,Watched shiny objected prolly 30000ft in the air fly west at an unreasonably fast speed then dissapear.,12/12/09
7342,11:00,10/25/09,El Cajon,CA,Circle,15min,while working on electrical junction box electrican noticed a silvery circle in the western sky . it was at a very high in the and didn,12/12/09
7343,07:07,10/25/09,Bath,NY,Unknown,8 seconds,"Bath, NY UFO Sighting",12/12/09
7344,07:00,10/25/09,Ft. Gratiot,MI,Cigar,,"Cigar shape, brightlights, very fast, low.",12/12/09
7345,07:00,10/25/09,Toronto (Canada),ON,Light,few seconds,high speed ball of light across the sky at dawn and then the light went out,12/12/09
7346,23:20,10/24/09,Santa Rosa,CA,Light,20+ minutes,"10 UFOs over Santa Rosa, California (six in a big dipper formation, four in a half circle)",12/12/09
7347,20:35,10/24/09,Crystal Lake,IL,Cylinder,1 - 2 minutes,Several Hundred Foot Long Orange/Gold Cylindrical Object,12/12/09
7348,20:30,10/24/09,Royal Palm Beach,FL,Other,1 hour,Something unbelievable in the SE FL sky while walking in my neighborhood Saturday night,12/12/09
7349,20:00,10/24/09,South Bend,IN,Triangle,7 sec.,triangle craft over South Bend,12/12/09
7350,19:30,10/24/09,Tell City,IN,Teardrop,5min,8 bright red tear shaped objects at low altitude seen at close range a little bigger than a small plane,12/12/09
7351,17:24,10/24/09,West Palm Beach,FL,Sphere,1Min 54Sec.,White spherical object standing still in the sky.,12/12/09
7352,16:15,10/24/09,Maryland Heights,MO,Other,3 minutes,shiny oval like object over maryland heights area,12/12/09
7353,16:00,10/24/09,"Morden, Surrey (UK/England)",,Disk,ten minutes,"Discs over Morden, Surrey UK",12/12/09
7354,07:00,10/24/09,Fontana,CA,Circle,25sec.,silver round object,12/12/09
7355,03:00,10/24/09,Tulsa,OK,Circle,1 hour,3:30am Tulsa sky has 4 objects flashing blue lights,12/12/09
7356,00:15,10/24/09,Midwest City/Del City,OK,Other,5 min,My nephew and I were at the fire on our patio when he asked of birds flew at night. We saw what looked like a bright white bird flying,12/12/09
7357,23:16,10/23/09,Milpitas,CA,Circle,5 seconds,We saw a orange/yellow circle shaped object traveling through the sky as fast as a shooting star,12/12/09
7358,20:30,10/23/09,In flight (Dallas to Tampa),TX,Unknown,35 mins,Search light pacing commercial airliner for 35 minutes,12/12/09
7359,19:05,10/23/09,Waynesville,MO,Unknown,1.5 minutes,"One object with two white lights, one red and one blue light hovering without sound about 300 - 400 feet in the air.",12/12/09
7360,18:30,10/23/09,Berea,KY,Light,"1 minute, 30 seconds (est","Bright, white vanishing light spotted in rural Berea, Kentucky.",12/12/09
7361,00:00,10/23/09,Stoney Creek (Canada),ON,Circle,one year,Not a siting but a posible visit? I started out with noticing one circle with stick around the inside of this circle one and a half yea,12/12/09
7362,23:45,10/22/09,West Columbia,SC,Flash,about 5 minutes,Soundless mysterious flashes of light in the southern sky,12/12/09
7363,21:30,10/22/09,"Morden, Surrey (UK/England)",,Triangle,20 minutes,Cluster of orange lights over Morden UK,12/12/09
7364,20:37,10/22/09,Houston,TX,Other,10 min,3 witnesses--object looked like the moon but no moon tonight. I can see it glowing through the trees in neighbors backyard. To high in,12/12/09
7365,20:15,10/22/09,Emmaus,PA,Unknown,2 minutes,"A bright light, pulsating, changing color and moving slowing, while coming to a complete stop and then starting to move again.",12/12/09
7366,06:10,10/22/09,Franklin,LA,Oval,3min,"clear orb with white lights encircling it, the lights were stationary and were not flashing",12/12/09
7367,03:15,10/22/09,Sweet Home,OR,Other,40 Seconds,"I dont know what it was, it was like a darker fog surrounded by the lighter fog, then it... blew away. There was no wind that night.",12/12/09
7368,00:00,10/22/09,Deep Gap,NC,Disk,3 1/2 hrs,"Five lighted craft dance about Orion during a meteor shower, spotted from the Appalachian Mountains.",12/12/09
7369,20:45,10/21/09,Knoxville (west of; on Hwy. 150),IL,,,"Two Triangles in the sky, one over the top of the other.",12/12/09
7370,19:35,10/21/09,Henderson,NV,Unknown,10 sec,"bright white light in S.W. sky over Henderson, Nv. oval in shape",12/12/09
7371,18:00,10/21/09,Canyon Country,CA,Light,30 mins.,"hoover brite star that started moving very fast and then slow, changing to red,green,blue in color",12/12/09
7372,08:50,10/21/09,San Juan (Puerto Rico),,Sphere,5min,"Silver sphere object hovering over San Juan, Puerto Rico, USA",12/12/09
7373,01:30,10/21/09,Cookeville,TN,Changing,Hours,Sited at least 3 or more objects with flashing lights in the sky.,12/12/09
7374,00:00,10/21/09,Tucson,AZ,Light,15 minutes each,Fake Stars and Fake Airplanes in Arizona,12/12/09
7375,00:00,10/21/09,Tucson,AZ,Light,15,Bright Lights Pretending to be Stars,12/12/09
7376,23:00,10/20/09,Ottumwa,IA,Light,5 mins,flashing light,12/12/09
7377,21:00,10/20/09,Fayetteville,GA,Light,10 seconds,"Huge Blue/Green Orb over Fayetteville GA, decended straight down",12/12/09
7378,20:30,10/20/09,Cincinnati,OH,Light,5-10 seconds,"One star-shaped object. I thought it was Venus, being the brightest of the night stars. ((NUFORC Note: ISS?? PD))",12/12/09
7379,18:58,10/20/09,St. Louis,MO,Light,6-8 seconds,brilliant pink light observed then emitted sparks then vanished,12/12/09
7380,18:00,10/20/09,Candle Lake (Canada),SK,,,Small bright light with four smaller circles extending from it,12/12/09
7381,13:00,10/20/09,Falls Village,CT,Triangle,3 hours,Triangular UFO with flashing lights and light beam.,12/12/09
7382,12:59,10/20/09,Falls Village,CT,Cigar,1 minute,ALIENS AT MY HIGH SCHOOL,12/12/09
7383,09:00,10/20/09,Duluth,GA,Sphere,15-20 min,a white circular light pulsing...just staying i one spot,12/12/09
7384,05:30,10/20/09,Cincinnati,OH,Circle,5 seconds,Grey Disk accelerates at incredible speed,12/12/09
7385,01:55,10/20/09,Burnsville,NC,Changing,2:27,"Star-like, color changing triangle shape object",12/12/09
7386,00:20,10/20/09,Radcliff,KY,Other,15 minutes,4 unidentified flying objects seen by a couple.,12/12/09
7387,00:15,10/20/09,Kiimberley (South Africa),,Unknown,10 seconds,no lights no sound only portion of ojectt seen,12/12/09
7388,20:30,10/19/09,Sidney,TX,Light,2min,"Phoenix-like event, 40 miles from Stephenville, TX--brief lights, 6-9: 6 hovering formation, 3 individual seperate, military jets.",12/12/09
7389,19:30,10/19/09,Horseshoe Lake,NY,Unknown,7pm- 8pm,3 red horizontal lights low and close in sky,12/12/09
7390,19:15,10/19/09,West Dennis,MA,Sphere,3-4 seconds,orange shere passed by in an interval of 4-5 seconds,12/12/09
7391,18:30,10/19/09,Detroit,MI,Other,15 min,"1 craft sighted in braod daylight, I have pics I don't see where to upload.",12/12/09
7392,06:15,10/19/09,Hanover Park,IL,Oval,few seconds,Floating Disc with three colors,12/12/09
7393,01:41,10/19/09,Oshawa (Canada),ON,Diamond,20 seconds,V shaped formation of diamond shaped lights over Oshawa Ontario.,12/12/09
7394,01:30,10/19/09,Dayton,OH,Light,10 minutes,A bright white light over Dayton that danced around the sky at incredible speeds,12/12/09
7395,00:50,10/19/09,Mount Laurel,NJ,Circle,25 minutes,"saw a light in the sky that would vanish for a few seconds then come back, every 10 minutes or so and after 25 minutes it vanished",12/12/09
7396,22:00,10/18/09,Bloemfontein (Free State),,Circle,1 minute or so,I reside in the USA. My brother called me from South Africa trying to find out how he can report what he saw in the sky. It was a a cle,12/12/09
7397,22:00,10/18/09,Ft. Lauderdade,FL,Other,20 secs.,it look like stingray,12/12/09
7398,22:00,10/18/09,Mossel Bay (South Africa),,Circle,10 min or more,"These crafts move from direction Cape town...Mossel bay...George etc.

All reported by my dauther to observatory in Cape town.

Ref",12/12/09
7399,20:45,10/18/09,Senekal (South Africa),,Light,3min,"Pulsating, bright light with light waves",12/12/09
7400,20:00,10/18/09,St. Paul (694e and also 96),MN,Light,Several minutes,Possible UFO crash near St. Paul MN,12/12/09
7401,19:45,10/18/09,Johannesburg (South Africa),,Circle,35 seconds,"2 very faint, circular, transparent, moving halos seen in Johannesburg, South Africa on a clear evening.",12/12/09
7402,04:00,10/18/09,Milwaukee,WI,Unknown,~30 seconds,yellow circle that materialized with a small circular craft and then vanished afterwards,12/12/09
7403,01:25,10/18/09,Great Falls,MT,Diamond,Different Times,Two unknown lights seen in the sky at separate times during the same night.,12/12/09
7404,00:00,10/18/09,Raleigh,NC,Unknown,2 mins,Bright light/hovering craft seen in raleigh near state fair around midnight.,12/12/09
7405,22:00,10/17/09,Juno Beach,FL,Light,30min,"Saw two starlike objects over Juno Beach darting about, high in the sky for about 30 minutes.",12/12/09
7406,22:00,10/17/09,Warner,NH,Light,1 minute,Two red/orange round balls of star-like light hovering over us then disappearing.,12/12/09
7407,21:50,10/17/09,West Palm Beach,FL,Triangle,no more than 8 seconds.,On the night of October 17 of 2009 at about 9:50 pm. A friend and myself were sitting in her back yard and I was starring off into the,12/12/09
7408,21:40,10/17/09,Boulder,CO,Triangle,10 sec,"Dim triangle of lights, high speed, low altitude but no noise over Boulder, CO 10/17/2009 10pm",12/12/09
7409,21:30,10/17/09,Maple Lake,MN,Fireball,1/2 second,"Green fireball north of Maple Lake, Minnesota",12/12/09
7410,21:00,10/17/09,Hyde Park,NY,Sphere,3min.,illuminated white sphere circleing,12/12/09
7411,20:40,10/17/09,Manchester,MO,Chevron,10 sec,Bright white chevron shaped object traveling at very fast speed over St. Louis area.,12/12/09
7412,19:35,10/17/09,Lubbock,TX,Light,8-10minutes,I was comming out of the hospital after an emergency visit for my son. Upon leaving the hospital I noticed a ball of light in the sky.,12/12/09
7413,19:30,10/17/09,Lubbock,TX,Circle,2 minutes,Large circular steady intense light and smaller less intense mobile companion light.,12/12/09
7414,19:15,10/17/09,Lakeside,CA,Light,15-30 minutes,unusal lights appearing in San Diego east county northwest sky,12/12/09
7415,18:30,10/17/09,Amarillo,TX,Sphere,00:5,An unknown light in the southwestern sky. Slowly got smaller before disappearing completely.,12/12/09
7416,15:00,10/17/09,San Jose/Bay Area,CA,Sphere,5-10 minutes,"1 Main Hovering Bright ORB/Sphere, Emiting Light as bright as the sun, 3 others soon apear in sequence.",12/12/09
7417,14:00,10/17/09,Buffalo,NY,Cigar,brief,"While traveling north on I-190, a friend and I saw a shiny object in the sky close to the horizon line. It appeared as if it was a brig",12/12/09
7418,12:50,10/17/09,St. Cloud,MN,Light,10mins,10/17/09 st.cloud mn light 5-10mins and orange light over down town st.cloud,12/12/09
7419,08:30,10/17/09,Poughkeepsie,NY,Light,two hours still happening,four lights expanding and then converging moving with me while I was driving...still visible outside,12/12/09
7420,01:50,10/17/09,Hermitage,PA,Formation,one minute,10/17/09 Hermitage Pa 4 asterisk lights 1-2 minutes stationary in staggered grid posted 10/ 19/09,12/12/09
7421,00:00,10/17/09,Murrieta,CA,Circle,,fast moving cirlce with colored lights,12/12/09
7422,00:00,10/17/09,Plymouth (UK/England),,Light,00:06,"7 bright orange lights flying over, some in formation and changing speeds then disapearing",12/12/09
7423,22:35,10/16/09,"Oakham, Rutland (UK/England)",,Light,40 seconds,Oakham,12/12/09
7424,22:00,10/16/09,Sugar Land,TX,Triangle,10 seconds,"Shifting triangular shape object, very high rate of speed, high altitude, traveling due north to south.",12/12/09
7425,22:00,10/16/09,Haltom,TX,Light,30 mins,"There were strange revolving lights in Haltom, TX on the night of October 16. ((NUFORC Note: Advertising lights?? PD))",12/12/09
7426,21:30,10/16/09,"Melksham, Wiltshire (UK/England)",,Circle,2 mins,"Bright orange light moved across the sky, no noise then disappeared",12/12/09
7427,21:00,10/16/09,Casa Grande (near),AZ,Triangle,3 hours,upt of 4 ambers lights at once that seemd to join up at one point glowed bright at times then dimmer,12/12/09
7428,20:00,10/16/09,Rowlett,TX,Circle,25 minutes,"I live in Rowlett, TX and on October 16, 2009 I saw a circular bright object that pulsated with multiple colors within it.",12/12/09
7429,20:00,10/16/09,Laporte,IN,Light,5 minutes maybe longer,balls of light discharged from another ball of light in the night sky,12/12/09
7430,19:30,10/16/09,Selby (UK/England),,Changing,4 minutes,"A orange splatter shaped light hovering in one place for about 4 minutes, slightly moving around but staying in round about the same sp",12/12/09
7431,15:50,10/16/09,San Jose,CA,Light,2 min,BRIGHT LIGHTS IN SKY OVER SAN JOSE CALIF.,12/12/09
7432,13:00,10/16/09,Garden Grove,CA,Triangle,a few minutes,"Triangle shape, broken into three discoid or round objects, shinny like polished stainless",12/12/09
7433,07:02,10/16/09,Pomona,CA,Unknown,2 Seconds,Object moving at what looked like warp speed with trailing white tail,12/12/09
7434,05:19,10/16/09,Tulsa,OK,Light,45-50 seconds,"Two bright, motionless lights in Tulsa's northern sky.",12/12/09
7435,03:32,10/16/09,Coral Springs,FL,Unknown,2 minutes,black light odd shape of an owl looking thing,12/12/09
7436,01:00,10/16/09,Los Angeles,CA,Light,1 hour +,Los Angeles 1:00 am red blue green and white light standing still for hour and a half. ((NUFORC Note: Twinkling star?? PD)),12/12/09
7437,00:00,10/16/09,Kissimmee,FL,Triangle,30 min,"Silver, Triangular Craft with White Lights Seen over Kissimmee, Florida October 16, 2009",12/12/09
7438,22:00,10/15/09,Seattle,WA,Light,3 - 5 minutes,A flying light in Seattle to the west of the aurora bridge,12/12/09
7439,20:15,10/15/09,Houston,TX,Light,2 minutes,In North Houston 3 family members and I witnessed 4 bright objects in a line formation heading southeast. About 30 sec later all object,12/12/09
7440,18:00,10/15/09,Tucumcari,NM,Teardrop,1 hour,"Object was not a weather balloon, or any known aircraft.",12/12/09
7441,14:00,10/15/09,Winchester,TN,Changing,5 min+,Morphing UFO with two smaller orbs seen in broad daylight - Orbs w/fantastic speed /maneuvers,12/12/09
7442,22:00,10/14/09,Creswell,OR,Fireball,45 seconds,Light blue colored light moves and zig zags in the sky then disapears in Creswell Oregon.,12/12/09
7443,21:37,10/14/09,New York City,NY,Oval,18 minutes,Unknown object Over The Empire State Building,12/12/09
7444,20:30,10/14/09,Reno,NV,Light,20 sec,"Brite light seen over reno,nv. This is the 2nd time I have seen this light and it's not a shooting star.",12/12/09
7445,19:05,10/14/09,Syracuse,NY,Cross,3 minutes,"UFO over Carousel Center in Syracuse, NY 10/14/2009",12/12/09
7446,19:00,10/14/09,Avoca,MI,Formation,4 minutes,Seen a 3 light formation blinking in the sky until it slowly moved off and vanished,12/12/09
7447,09:00,10/14/09,Concord,CA,Changing,10:00 minutes,amorphous black object stationary in the sky... 9 witnesses. Daytime sighting...,12/12/09
7448,02:20,10/14/09,Honolulu,HI,Circle,5 Minute,"Unusually bright, very colorful; pulsating light in the sky,",12/12/09
7449,01:30,10/14/09,Fresno,CA,Other,1 MIN,Fresno sighting,12/12/09
7450,23:10,10/13/09,Crookston,MN,Triangle,3 min,Saw it over high-tension lines for a few min then flew off to the west.,12/12/09
7451,22:00,10/13/09,Minersville,PA,Sphere,5 minutes,"2 large, bright Orange/Amber lights in the sky",12/12/09
7452,20:30,10/13/09,Stockton,CA,Light,10 secs,UFO DANCING IN THE SKY,12/12/09
7453,20:00,10/13/09,Little River,SC,Light,20:00-22:30,our siting relates to many of the other summarys,12/12/09
7454,14:00,10/13/09,Whakatane (New Zealand),,Triangle,15-30min,"Hi I decided to get out of Auckland City for a while,so me and my girlfriend went for a drive,so we decided to go to Whatatane,its a sm",12/12/09
7455,07:03,10/13/09,Bend,OR,Light,3 min,viewed for 3 minutes a pulsating circular object which moved very slowly above some trees,12/12/09
7456,06:30,10/13/09,Troy,NY,Circle,A circle in the sky movei,((HOAX??)) Flying craft which was big as a football field,12/12/09
7457,06:30,10/13/09,Jackson,NJ,Light,10 seconds,soccer ball sized light moving throughout the trees and then headed at us before turning and disappearing,12/12/09
7458,05:00,10/13/09,Boston,MA,Light,,hovering lights over Boston pre-dawn,12/12/09
7459,23:00,10/12/09,Cushing,TX,Flash,,i was laying outside just gazing i swear this happend please believe me my parents dont. i was sitting outside and i saw a flash then i,12/12/09
7460,22:00,10/12/09,Houston/Tomball,TX,Light,About a minute,A white light like a star traveling very fast chafing directions then dissapeared.,12/12/09
7461,20:30,10/12/09,San Juan,TX,Unknown,15 minutes,"8:30ct   Oct. 12, 2009 Myself, my husband and my daughter saw a large bright object that looked like a star at first.... It was moving",12/12/09
7462,11:00,10/12/09,Mcdonough,GA,Formation,15 minutes,We were outside filming a highschool project when someone saw a flash over head. we looked up and saw 3 or even 4 crafts with no distin,12/12/09
7463,07:00,10/12/09,Dover,NH,Unknown,5 sec,I saw a shiny object that shot across the northeast sky at a high rate of speed.,12/12/09
7464,00:30,10/12/09,Bishop,WV,Unknown,caught the end,"Bright lights, that were stationary over Bishop, WV, suddenly took off like a shooting star.",12/12/09
7465,21:55,10/11/09,Madison,WI,Light,3 minutes,"Amber orange light moving very slowly, dimming out, shooting away.",12/12/09
7466,19:50,10/11/09,Putnamville,IN,Flash,8 - 9 minutes,Two Hovering Aircraft Spotted Around a Strange Haze,12/12/09
7467,19:00,10/11/09,North Smithfield,RI,Circle,10 to 15 seconds,I was watching the sky like I always do on a clear night because you can always see what appear to be stars riding along the night sky.,12/12/09
7468,18:05,10/11/09,West Palm Beach,FL,Oval,3 seconds,At around 6pm (18:00 hours) I was outside in the backyard of my home with my Canon EOS Rebel XT digital camera taking photographs of na,12/12/09
7469,18:00,10/11/09,Rowlett,TX,Disk,unknown,Disc shaped object caught on cell phone camera in Rowlett Texas.,12/12/09
7470,18:00,10/11/09,Louisville,KY,Disk,several minutes,"strange object photographed over Louisville, Kentucky October 11, 2009",12/12/09
7471,12:30,10/11/09,Glendale,AZ,Egg,20 minutes,2 eggshaped objects over Glendale Az. near stadium.,12/12/09
7472,04:45,10/11/09,St. John's (Canada),NF,Flash,>5 seconds,Bending streak of white light over suburban area.,12/12/09
7473,04:00,10/11/09,Crisfield,MD,Light,5 to 10 min,A bright light moving across the sky getting closer stopped on a dime got brighter and took off with no sounds at all,12/12/09
7474,02:45,10/11/09,Deer Park,NY,Other,3 hrs,"2 Bright Orange lights in the sky moving up, down, and circular motion with shooting streaking trail -looked like shooting star",12/12/09
7475,00:00,10/11/09,Sedro Woolley,WA,Unknown,10 seconds,Unusaul flight charactoristics,12/12/09
7476,23:23,10/10/09,Cupertino,CA,Light,3 minutes,Bright red light object made random moves horizontally and floated for a while and then went up vertically.,12/12/09
