,0,1,2,3,4,5,6,7
46,23:05,5/5/11,Sioux Falls,SD,Chevron,2 Minutes,Three brillant white lights going one direction and stopping and two red chevron shaped objects going near opposite course,5/12/11
47,23:00,5/5/11,Barnegat,NJ,Unknown,5 minutes,two red blinking lights moving very slowly than dissappeared,5/12/11
48,23:00,5/5/11,East Bethel,MN,Circle,2 hours,"Green circle light, that emited yellow and red colors, stayed fixed in sky for two hours.",5/12/11
49,21:15,5/5/11,Whitby (Canada),ON,Formation,2 min,not alone,5/12/11
50,21:00,5/5/11,Winter Garden,FL,Triangle,about 2 minutes,triangular shape and extremely fast,5/12/11
51,21:00,5/5/11,Bennington,KS,Light,2 minutes,"An obj. that looked like a bright star, slowly descended straight toward the ground, slowly faded.((NUFORC Note: ISS over-flight. PD)",5/12/11
52,21:00,5/5/11,Brick,NJ,Fireball,15 minutes,"fireball spins, pulsates and changes colors very fast. ((NUFORC Note: Possible twinkling star, we wonder. PD))",5/12/11
53,20:33,5/5/11,North Las Vegas,NV,Light,1 minute,"White light over N. Las Vegas, NV. ((NUFORC Note: ISS passed overhead here at 20:30 hrs. PD))",5/12/11
54,17:15,5/5/11,West Chicago,IL,Light,2 minutes,"white light zigzagged, came down, went up, headed north until out of sight",5/12/11
55,11:41,5/5/11,Amery,WI,Light,constant!,They are still here! Two days!,5/12/11
56,09:15,5/5/11,Lewiston,ID,Fireball,4 minutes,3 fireballs around lewiston idaho,5/12/11
57,07:00,5/5/11,Mount Vernon,IA,Unknown,unknown,I have a picture.,5/12/11
58,00:00,5/5/11,Myrtle Beach,SC,Formation,Few minutes,We have just seen a straight formation of lights moving north in Myrtle Beach. Lights blink on then off. Atleast 5 to 6 lights in a r,5/12/11
59,23:30,5/4/11,Olive Hill,KY,Circle,1-2 minutes,"Bright, slow moving orange craft over Olive Hill Kentucky.",5/12/11
60,22:45,5/4/11,San Francisco,CA,Light,20 min,Object covered by white and red light observed again,5/12/11
61,22:10,5/4/11,Prince George,VA,Light,3 minutes,"An object that resembles a star that slowly gets brighter, moves slowly, and then speeds up, fades. ((NUFORC Note: ISS? PD))",5/12/11
